weather_id,weather_info,wind_speed,temperature,time
803,Clouds,4.63,12.3,2023-04-05 19
803,Clouds,4.63,11.76,2023-04-05 20
803,Clouds,4.63,10.88,2023-04-05 21
803,Clouds,3.09,10.83,2023-04-05 22
803,Clouds,3.6,10.78,2023-04-05 23
803,Clouds,3.09,9.66,2023-04-06 00
803,Clouds,3.09,8.5,2023-04-06 01
803,Clouds,4.12,8.12,2023-04-06 02
803,Clouds,3.09,7.37,2023-04-06 03
803,Clouds,3.09,7.37,2023-04-06 04
803,Clouds,5.14,7.35,2023-04-06 05
501,Rain,4.12,7.42,2023-04-06 06
520,Rain,4.12,7.21,2023-04-06 07
803,Clouds,4.63,7.55,2023-04-06 08
500,Rain,4.63,8.37,2023-04-06 09
803,Clouds,5.66,8.96,2023-04-06 10
803,Clouds,6.17,10.29,2023-04-06 11
500,Rain,6.69,11.04,2023-04-06 12
802,Clouds,6.69,12.05,2023-04-06 13
500,Rain,6.17,12.6,2023-04-06 14
803,Clouds,6.17,12.96,2023-04-06 15
802,Clouds,7.72,12.7,2023-04-06 16
802,Clouds,8.23,12.59,2023-04-06 17
801,Clouds,6.69,12.1,2023-04-06 18
802,Clouds,4.12,10.37,2023-04-06 19
802,Clouds,3.6,8.42,2023-04-06 20
802,Clouds,3.09,6.5,2023-04-06 21
801,Clouds,4.12,6.59,2023-04-06 22
801,Clouds,3.09,5.71,2023-04-06 23
800,Clear,2.57,5.36,2023-04-07 00
801,Clouds,1.54,4.81,2023-04-07 01
801,Clouds,2.57,3.43,2023-04-07 02
800,Clear,1.54,2.94,2023-04-07 03
800,Clear,1.54,2.62,2023-04-07 04
800,Clear,1.54,3.19,2023-04-07 05
800,Clear,1.54,3.88,2023-04-07 06
802,Clouds,1.54,6.04,2023-04-07 07
803,Clouds,2.06,7.42,2023-04-07 08
803,Clouds,3.09,10.02,2023-04-07 09
803,Clouds,3.6,11.83,2023-04-07 10
803,Clouds,3.6,12.89,2023-04-07 11
803,Clouds,4.12,13.13,2023-04-07 12
802,Clouds,3.58,13.52,2023-04-07 13
803,Clouds,3.6,13.84,2023-04-07 14
803,Clouds,4.63,13.7,2023-04-07 15
803,Clouds,5.14,13.54,2023-04-07 16
803,Clouds,5.14,13.07,2023-04-07 17
803,Clouds,5.14,12.01,2023-04-07 18
803,Clouds,4.12,10.16,2023-04-07 19
803,Clouds,3.09,8.88,2023-04-07 20
802,Clouds,3.09,7.3,2023-04-07 21
802,Clouds,3.09,6.19,2023-04-07 22
802,Clouds,3.6,6.35,2023-04-07 23
802,Clouds,3.09,6.21,2023-04-08 00
802,Clouds,3.09,6.27,2023-04-08 01
803,Clouds,3.09,6.74,2023-04-08 02
803,Clouds,2.57,6.92,2023-04-08 03
803,Clouds,3.09,7.05,2023-04-08 04
803,Clouds,3.09,7.09,2023-04-08 05
803,Clouds,2.06,6.2,2023-04-08 06
803,Clouds,2.06,7.0,2023-04-08 07
802,Clouds,2.57,8.46,2023-04-08 08
803,Clouds,4.12,10.59,2023-04-08 09
803,Clouds,4.12,12.16,2023-04-08 10
803,Clouds,6.69,13.74,2023-04-08 11
803,Clouds,7.72,13.93,2023-04-08 12
803,Clouds,8.23,13.79,2023-04-08 13
803,Clouds,7.2,13.0,2023-04-08 14
803,Clouds,6.17,12.83,2023-04-08 15
803,Clouds,6.17,12.48,2023-04-08 16
803,Clouds,4.63,12.75,2023-04-08 17
803,Clouds,4.12,12.37,2023-04-08 18
803,Clouds,4.12,11.91,2023-04-08 19
803,Clouds,3.09,11.02,2023-04-08 20
803,Clouds,4.63,10.79,2023-04-08 21
803,Clouds,5.66,10.62,2023-04-08 22
803,Clouds,3.6,10.27,2023-04-08 23
803,Clouds,5.14,9.89,2023-04-09 00
803,Clouds,7.72,9.57,2023-04-09 01
803,Clouds,6.17,9.32,2023-04-09 02
803,Clouds,7.2,9.26,2023-04-09 03
803,Clouds,6.17,9.34,2023-04-09 04
803,Clouds,5.14,8.99,2023-04-09 05
803,Clouds,5.14,8.99,2023-04-09 06
803,Clouds,8.75,9.29,2023-04-09 07
803,Clouds,7.2,10.07,2023-04-09 08
803,Clouds,6.69,10.94,2023-04-09 09
803,Clouds,7.2,11.59,2023-04-09 10
803,Clouds,9.26,11.47,2023-04-09 11
803,Clouds,8.23,11.45,2023-04-09 12
500,Rain,7.72,11.91,2023-04-09 13
500,Rain,10.29,12.27,2023-04-09 14
500,Rain,6.69,12.74,2023-04-09 15
803,Clouds,7.72,12.38,2023-04-09 16
803,Clouds,6.17,12.74,2023-04-09 17
803,Clouds,8.75,12.32,2023-04-09 18
803,Clouds,7.72,11.87,2023-04-09 19
803,Clouds,8.75,11.74,2023-04-09 20
803,Clouds,7.72,11.4,2023-04-09 21
803,Clouds,7.2,10.96,2023-04-09 22
803,Clouds,7.2,10.51,2023-04-09 23
803,Clouds,7.2,10.82,2023-04-10 00
803,Clouds,8.23,10.13,2023-04-10 01
500,Rain,6.17,9.94,2023-04-10 02
803,Clouds,5.14,10.0,2023-04-10 03
520,Rain,7.72,9.81,2023-04-10 04
803,Clouds,7.72,9.1,2023-04-10 05
500,Rain,5.66,8.72,2023-04-10 06
500,Rain,6.17,9.07,2023-04-10 07
501,Rain,7.2,8.19,2023-04-10 08
803,Clouds,4.12,7.48,2023-04-10 09
803,Clouds,4.12,8.69,2023-04-10 10
803,Clouds,6.17,10.29,2023-04-10 11
520,Rain,8.23,10.45,2023-04-10 12
803,Clouds,8.75,8.9,2023-04-10 13
531,Rain,9.26,10.9,2023-04-10 14
802,Clouds,8.23,9.85,2023-04-10 15
803,Clouds,8.23,10.66,2023-04-10 16
502,Rain,9.26,9.07,2023-04-10 17
802,Clouds,9.77,8.15,2023-04-10 18
500,Rain,11.32,7.75,2023-04-10 19
801,Clouds,7.2,7.08,2023-04-10 20
802,Clouds,9.77,6.4,2023-04-10 21
802,Clouds,9.77,6.11,2023-04-10 22
802,Clouds,6.17,6.03,2023-04-10 23
