weather_id,weather_info,wind_speed,temperature,time
803,Clouds,9.26,8.83,2023-03-12 03
803,Clouds,8.23,8.93,2023-03-12 04
803,Clouds,7.72,8.74,2023-03-12 05
803,Clouds,9.26,8.71,2023-03-12 06
803,Clouds,7.2,8.63,2023-03-12 07
803,Clouds,7.2,8.66,2023-03-12 08
803,Clouds,7.72,9.13,2023-03-12 09
803,Clouds,6.69,10.38,2023-03-12 10
803,Clouds,5.14,12.72,2023-03-12 11
803,Clouds,7.2,12.81,2023-03-12 12
803,Clouds,8.23,12.61,2023-03-12 13
803,Clouds,9.26,12.97,2023-03-12 14
803,Clouds,9.26,12.71,2023-03-12 15
803,Clouds,9.26,12.49,2023-03-12 16
500,Rain,8.75,12.54,2023-03-12 17
500,Rain,7.2,12.18,2023-03-12 18
500,Rain,5.14,11.22,2023-03-12 19
500,Rain,3.6,11.08,2023-03-12 20
803,Clouds,7.2,11.29,2023-03-12 21
501,Rain,7.72,12.37,2023-03-12 22
803,Clouds,10.29,12.25,2023-03-12 23
803,Clouds,12.35,12.63,2023-03-13 00
803,Clouds,9.77,12.63,2023-03-13 01
501,Rain,11.32,12.59,2023-03-13 02
803,Clouds,10.8,12.49,2023-03-13 03
803,Clouds,11.32,11.72,2023-03-13 04
520,Rain,9.26,10.46,2023-03-13 05
520,Rain,9.77,10.46,2023-03-13 06
803,Clouds,10.29,10.37,2023-03-13 07
803,Clouds,10.29,10.58,2023-03-13 08
803,Clouds,9.77,11.04,2023-03-13 09
300,Drizzle,10.29,11.58,2023-03-13 10
803,Clouds,8.75,11.91,2023-03-13 11
300,Drizzle,8.75,12.68,2023-03-13 12
803,Clouds,11.83,13.82,2023-03-13 13
520,Rain,10.29,13.1,2023-03-13 14
520,Rain,7.2,10.17,2023-03-13 15
803,Clouds,6.69,9.28,2023-03-13 16
803,Clouds,6.17,8.43,2023-03-13 17
803,Clouds,7.6,7.93,2023-03-13 18
802,Clouds,6.71,6.92,2023-03-13 19
802,Clouds,7.2,6.17,2023-03-13 20
802,Clouds,7.72,5.26,2023-03-13 21
801,Clouds,6.71,4.57,2023-03-13 22
801,Clouds,7.2,3.75,2023-03-13 23
801,Clouds,6.71,3.36,2023-03-14 00
801,Clouds,6.17,3.05,2023-03-14 01
520,Rain,6.69,3.24,2023-03-14 02
520,Rain,6.71,2.17,2023-03-14 03
803,Clouds,5.66,2.36,2023-03-14 04
803,Clouds,5.14,2.06,2023-03-14 05
802,Clouds,5.14,1.29,2023-03-14 06
802,Clouds,4.12,1.23,2023-03-14 07
801,Clouds,4.63,1.76,2023-03-14 08
803,Clouds,6.17,2.81,2023-03-14 09
802,Clouds,6.17,4.37,2023-03-14 10
803,Clouds,8.23,5.57,2023-03-14 11
803,Clouds,9.26,7.01,2023-03-14 12
803,Clouds,9.26,6.04,2023-03-14 13
803,Clouds,8.75,5.66,2023-03-14 14
500,Rain,6.69,6.8,2023-03-14 15
802,Clouds,7.72,4.19,2023-03-14 16
801,Clouds,5.14,5.32,2023-03-14 17
801,Clouds,6.71,5.48,2023-03-14 18
801,Clouds,4.63,4.0,2023-03-14 19
802,Clouds,5.14,3.49,2023-03-14 20
801,Clouds,4.63,2.96,2023-03-14 21
801,Clouds,4.63,2.05,2023-03-14 22
801,Clouds,3.6,2.0,2023-03-14 23
801,Clouds,3.09,1.68,2023-03-15 00
801,Clouds,3.09,1.92,2023-03-15 01
801,Clouds,4.12,0.79,2023-03-15 02
803,Clouds,2.57,0.73,2023-03-15 03
803,Clouds,3.6,1.07,2023-03-15 04
803,Clouds,2.57,1.57,2023-03-15 05
803,Clouds,2.06,2.44,2023-03-15 06
500,Rain,2.57,3.35,2023-03-15 07
500,Rain,4.63,4.07,2023-03-15 08
500,Rain,3.6,4.62,2023-03-15 09
500,Rain,2.06,4.72,2023-03-15 10
500,Rain,2.68,5.37,2023-03-15 11
500,Rain,5.14,6.35,2023-03-15 12
500,Rain,6.69,7.51,2023-03-15 13
500,Rain,7.72,8.2,2023-03-15 14
500,Rain,6.17,8.64,2023-03-15 15
501,Rain,7.2,9.14,2023-03-15 16
501,Rain,9.26,9.31,2023-03-15 17
500,Rain,8.75,9.45,2023-03-15 18
803,Clouds,8.75,9.75,2023-03-15 19
300,Drizzle,10.29,9.95,2023-03-15 20
803,Clouds,7.2,10.34,2023-03-15 21
500,Rain,7.72,11.01,2023-03-15 22
500,Rain,8.75,11.04,2023-03-15 23
500,Rain,7.72,11.3,2023-03-16 00
500,Rain,8.23,11.4,2023-03-16 01
803,Clouds,8.23,11.55,2023-03-16 02
803,Clouds,7.72,11.77,2023-03-16 03
803,Clouds,9.77,11.86,2023-03-16 04
803,Clouds,8.23,11.97,2023-03-16 05
501,Rain,9.77,11.86,2023-03-16 06
500,Rain,9.77,11.76,2023-03-16 07
803,Clouds,9.26,11.77,2023-03-16 08
300,Drizzle,7.72,12.28,2023-03-16 09
803,Clouds,8.23,13.25,2023-03-16 10
803,Clouds,8.23,13.57,2023-03-16 11
803,Clouds,8.75,13.89,2023-03-16 12
803,Clouds,7.72,14.66,2023-03-16 13
803,Clouds,6.69,15.06,2023-03-16 14
803,Clouds,7.2,15.63,2023-03-16 15
803,Clouds,6.69,15.02,2023-03-16 16
802,Clouds,7.2,14.4,2023-03-16 17
802,Clouds,7.2,13.81,2023-03-16 18
801,Clouds,6.17,12.2,2023-03-16 19
801,Clouds,5.14,11.0,2023-03-16 20
801,Clouds,5.66,10.82,2023-03-16 21
801,Clouds,3.09,10.48,2023-03-16 22
801,Clouds,6.17,9.88,2023-03-16 23
801,Clouds,7.2,9.97,2023-03-17 00
801,Clouds,5.66,9.94,2023-03-17 01
802,Clouds,5.66,9.72,2023-03-17 02
803,Clouds,5.66,9.77,2023-03-17 03
802,Clouds,4.63,9.18,2023-03-17 04
803,Clouds,5.66,9.23,2023-03-17 05
803,Clouds,3.6,9.51,2023-03-17 06
803,Clouds,3.6,9.62,2023-03-17 07
803,Clouds,3.09,10.11,2023-03-17 08
803,Clouds,5.66,11.26,2023-03-17 09
500,Rain,5.14,11.64,2023-03-17 10
520,Rain,5.14,11.58,2023-03-17 11
500,Rain,3.6,11.46,2023-03-17 12
803,Clouds,4.63,11.87,2023-03-17 13
803,Clouds,5.36,12.1,2023-03-17 14
803,Clouds,5.14,12.65,2023-03-17 15
803,Clouds,5.14,12.37,2023-03-17 16
803,Clouds,5.14,12.89,2023-03-17 17
803,Clouds,5.14,12.21,2023-03-17 18
803,Clouds,4.12,11.71,2023-03-17 19
803,Clouds,3.6,10.67,2023-03-17 20
803,Clouds,3.6,10.21,2023-03-17 21
803,Clouds,1.54,10.14,2023-03-17 22
802,Clouds,3.6,10.02,2023-03-17 23
803,Clouds,1.54,9.56,2023-03-18 00
803,Clouds,1.54,9.66,2023-03-18 01
803,Clouds,2.06,9.66,2023-03-18 02
803,Clouds,2.06,9.83,2023-03-18 03
803,Clouds,2.57,9.41,2023-03-18 04
803,Clouds,1.54,9.33,2023-03-18 05
803,Clouds,1.54,8.79,2023-03-18 06
803,Clouds,3.09,8.58,2023-03-18 07
803,Clouds,4.12,9.14,2023-03-18 08
803,Clouds,3.09,10.98,2023-03-18 09
803,Clouds,4.12,12.15,2023-03-18 10
300,Drizzle,5.66,12.09,2023-03-18 11
300,Drizzle,5.14,11.69,2023-03-18 12
500,Rain,8.75,9.72,2023-03-18 13
803,Clouds,8.05,9.64,2023-03-18 14
803,Clouds,7.2,10.35,2023-03-18 15
803,Clouds,7.2,9.71,2023-03-18 16
801,Clouds,10.29,10.16,2023-03-18 17
801,Clouds,7.2,9.05,2023-03-18 18
801,Clouds,7.2,7.8,2023-03-18 19
801,Clouds,7.2,6.94,2023-03-18 20
801,Clouds,7.2,6.55,2023-03-18 21
801,Clouds,6.17,6.1,2023-03-18 22
801,Clouds,6.17,6.04,2023-03-18 23
801,Clouds,6.69,5.23,2023-03-19 00
801,Clouds,5.14,4.65,2023-03-19 01
801,Clouds,6.71,4.38,2023-03-19 02
803,Clouds,6.71,4.24,2023-03-19 03
801,Clouds,5.66,4.24,2023-03-19 04
801,Clouds,5.14,3.99,2023-03-19 05
801,Clouds,4.63,3.62,2023-03-19 06
801,Clouds,4.63,3.29,2023-03-19 07
801,Clouds,4.12,4.05,2023-03-19 08
803,Clouds,3.6,5.77,2023-03-19 09
803,Clouds,3.6,7.9,2023-03-19 10
803,Clouds,4.63,8.3,2023-03-19 11
500,Rain,4.12,8.88,2023-03-19 12
500,Rain,5.14,9.43,2023-03-19 13
500,Rain,5.14,9.18,2023-03-19 14
500,Rain,6.69,8.71,2023-03-19 15
500,Rain,5.14,7.88,2023-03-19 16
500,Rain,3.09,7.36,2023-03-19 17
803,Clouds,3.6,7.27,2023-03-19 18
803,Clouds,7.2,7.97,2023-03-19 19
803,Clouds,8.75,9.14,2023-03-19 20
803,Clouds,8.23,10.53,2023-03-19 21
803,Clouds,7.72,11.31,2023-03-19 22
803,Clouds,9.26,11.64,2023-03-19 23
803,Clouds,7.2,11.83,2023-03-20 00
803,Clouds,6.69,11.72,2023-03-20 01
803,Clouds,6.69,11.79,2023-03-20 02
803,Clouds,7.2,12.14,2023-03-20 03
803,Clouds,4.12,12.27,2023-03-20 04
803,Clouds,5.66,11.83,2023-03-20 05
500,Rain,7.2,11.34,2023-03-20 06
803,Clouds,5.14,11.17,2023-03-20 07
803,Clouds,4.63,11.33,2023-03-20 08
803,Clouds,6.17,12.11,2023-03-20 09
803,Clouds,6.69,13.3,2023-03-20 10
803,Clouds,7.72,14.25,2023-03-20 11
803,Clouds,6.69,14.31,2023-03-20 12
803,Clouds,6.17,14.64,2023-03-20 13
803,Clouds,6.69,15.85,2023-03-20 14
803,Clouds,4.63,15.41,2023-03-20 15
803,Clouds,6.69,14.88,2023-03-20 16
803,Clouds,5.14,14.36,2023-03-20 17
803,Clouds,4.12,13.48,2023-03-20 18
803,Clouds,4.12,13.17,2023-03-20 19
803,Clouds,6.17,11.92,2023-03-20 20
500,Rain,6.69,11.63,2023-03-20 21
501,Rain,7.2,12.04,2023-03-20 22
803,Clouds,5.14,11.66,2023-03-20 23
803,Clouds,6.17,11.09,2023-03-21 00
802,Clouds,5.66,10.84,2023-03-21 01
803,Clouds,4.63,10.76,2023-03-21 02
803,Clouds,4.63,10.41,2023-03-21 03
803,Clouds,4.63,9.96,2023-03-21 04
803,Clouds,3.6,9.93,2023-03-21 05
803,Clouds,3.6,10.32,2023-03-21 06
803,Clouds,7.2,10.25,2023-03-21 07
803,Clouds,6.17,10.37,2023-03-21 08
803,Clouds,5.81,10.51,2023-03-21 09
803,Clouds,6.69,11.48,2023-03-21 10
300,Drizzle,7.72,12.08,2023-03-21 11
803,Clouds,7.72,12.58,2023-03-21 12
803,Clouds,6.17,12.84,2023-03-21 13
803,Clouds,8.75,12.77,2023-03-21 14
310,Drizzle,7.72,12.54,2023-03-21 15
501,Rain,8.23,11.78,2023-03-21 16
500,Rain,7.72,11.2,2023-03-21 17
500,Rain,8.75,11.25,2023-03-21 18
500,Rain,7.2,11.44,2023-03-21 19
501,Rain,11.83,11.76,2023-03-21 20
500,Rain,11.32,11.97,2023-03-21 21
500,Rain,9.77,12.19,2023-03-21 22
501,Rain,11.32,12.11,2023-03-21 23
501,Rain,10.29,12.12,2023-03-22 00
803,Clouds,8.75,12.18,2023-03-22 01
803,Clouds,9.77,9.99,2023-03-22 02
802,Clouds,12.35,8.71,2023-03-22 03
802,Clouds,11.83,7.63,2023-03-22 04
801,Clouds,8.75,7.38,2023-03-22 05
802,Clouds,9.26,6.87,2023-03-22 06
801,Clouds,8.75,7.37,2023-03-22 07
801,Clouds,8.75,7.99,2023-03-22 08
800,Clear,8.75,9.07,2023-03-22 09
803,Clouds,9.26,10.14,2023-03-22 10
803,Clouds,10.29,11.26,2023-03-22 11
802,Clouds,8.75,11.19,2023-03-22 12
802,Clouds,10.29,12.25,2023-03-22 13
801,Clouds,8.75,13.08,2023-03-22 14
803,Clouds,8.75,12.77,2023-03-22 15
520,Rain,10.29,11.88,2023-03-22 16
803,Clouds,11.32,11.6,2023-03-22 17
803,Clouds,8.23,10.78,2023-03-22 18
